File,Method,From,To
org/apache/commons/math/fraction/ProperBigFractionFormat.java,ProperBigFractionFormat(),49,51
org/apache/commons/math/fraction/ProperBigFractionFormat.java,ProperBigFractionFormat(NumberFormat),59,61
org/apache/commons/math/fraction/ProperBigFractionFormat.java,ProperBigFractionFormat(NumberFormat|NumberFormat|NumberFormat),72,75
org/apache/commons/math/fraction/ProperBigFractionFormat.java,format(BigFraction|StringBuffer|FieldPosition),89,111
org/apache/commons/math/fraction/ProperBigFractionFormat.java,getWholeFormat(),117,119
org/apache/commons/math/fraction/ProperBigFractionFormat.java,parse(String|ParsePosition),134,225
org/apache/commons/math/fraction/ProperBigFractionFormat.java,setWholeFormat(NumberFormat),233,239
org/apache/commons/math/fraction/BigFractionFormat.java,BigFractionFormat(),49,50
org/apache/commons/math/fraction/BigFractionFormat.java,BigFractionFormat(NumberFormat),57,59
org/apache/commons/math/fraction/BigFractionFormat.java,BigFractionFormat(NumberFormat|NumberFormat),68,70
org/apache/commons/math/fraction/BigFractionFormat.java,getAvailableLocales(),77,79
org/apache/commons/math/fraction/BigFractionFormat.java,formatBigFraction(BigFraction),88,90
org/apache/commons/math/fraction/BigFractionFormat.java,getImproperInstance(),96,98
org/apache/commons/math/fraction/BigFractionFormat.java,getImproperInstance(Locale),105,107
org/apache/commons/math/fraction/BigFractionFormat.java,getProperInstance(),113,115
org/apache/commons/math/fraction/BigFractionFormat.java,getProperInstance(Locale),122,124
org/apache/commons/math/fraction/BigFractionFormat.java,format(BigFraction|StringBuffer|FieldPosition),137,147
org/apache/commons/math/fraction/BigFractionFormat.java,format(Object|StringBuffer|FieldPosition),165,181
org/apache/commons/math/fraction/BigFractionFormat.java,parse(String),191,200
org/apache/commons/math/fraction/BigFractionFormat.java,parse(String|ParsePosition),210,260
org/apache/commons/math/fraction/BigFractionFormat.java,parseNextBigInteger(String|ParsePosition),270,288
org/apache/commons/math/fraction/FractionField.java,FractionField(),40,41
org/apache/commons/math/fraction/FractionField.java,getInstance(),46,48
org/apache/commons/math/fraction/FractionField.java,getOne(),51,53
org/apache/commons/math/fraction/FractionField.java,getZero(),56,58
org/apache/commons/math/fraction/FractionField.java,readResolve(),73,76
org/apache/commons/math/fraction/FractionFormat.java,FractionFormat(),46,47
org/apache/commons/math/fraction/FractionFormat.java,FractionFormat(NumberFormat),54,56
org/apache/commons/math/fraction/FractionFormat.java,FractionFormat(NumberFormat|NumberFormat),65,67
org/apache/commons/math/fraction/FractionFormat.java,getAvailableLocales(),74,76
org/apache/commons/math/fraction/FractionFormat.java,formatFraction(Fraction),85,87
org/apache/commons/math/fraction/FractionFormat.java,getImproperInstance(),93,95
org/apache/commons/math/fraction/FractionFormat.java,getImproperInstance(Locale),102,104
org/apache/commons/math/fraction/FractionFormat.java,getProperInstance(),110,112
org/apache/commons/math/fraction/FractionFormat.java,getProperInstance(Locale),119,121
org/apache/commons/math/fraction/FractionFormat.java,getDefaultNumberFormat(),129,131
org/apache/commons/math/fraction/FractionFormat.java,format(Fraction|StringBuffer|FieldPosition),144,155
org/apache/commons/math/fraction/FractionFormat.java,format(Object|StringBuffer|FieldPosition),172,192
org/apache/commons/math/fraction/FractionFormat.java,parse(String),202,211
org/apache/commons/math/fraction/FractionFormat.java,parse(String|ParsePosition),221,271
