File,Method,From,To
org/apache/commons/math/linear/CholeskySolver.java,CholeskySolver(),47,48
org/apache/commons/math/linear/CholeskySolver.java,setNumericalZero(double),56,58
org/apache/commons/math/linear/CholeskySolver.java,getNumericalZero(),63,65
org/apache/commons/math/linear/CholeskySolver.java,decompose(RealMatrix),78,114
org/apache/commons/math/linear/CholeskySolver.java,getDecomposition(),123,125
org/apache/commons/math/linear/CholeskySolver.java,solve(double[]),141,170
org/apache/commons/math/linear/CholeskySolver.java,solve(RealMatrix|double[]),190,193
org/apache/commons/math/linear/CholeskySolver.java,getDeterminant(),205,219
org/apache/commons/math/linear/DecompositionFactory.java,newInstance(),36,38
org/apache/commons/math/linear/CholeskySolverTest.java,CholeskySolverTest(String),69,71
org/apache/commons/math/linear/CholeskySolverTest.java,setUp(),74,76
org/apache/commons/math/linear/CholeskySolverTest.java,tearDown(),80,82
org/apache/commons/math/linear/CholeskySolverTest.java,suite(),84,88
org/apache/commons/math/linear/CholeskySolverTest.java,testNumericalZero(),94,107
org/apache/commons/math/linear/CholeskySolverTest.java,testDecompose(),113,135
org/apache/commons/math/linear/CholeskySolverTest.java,testSolve(),141,170
org/apache/commons/math/linear/CholeskySolverTest.java,testGetDeterminant(),176,191
org/apache/commons/math/linear/CholeskySolverTest.java,testDecompose(double[][]|String),203,215
org/apache/commons/math/linear/CholeskySolverTest.java,testSolve(double[][]|String),221,240
org/apache/commons/math/linear/CholeskySolverTest.java,testGetDeterminant(double[][]|double|String),249,259
org/apache/commons/math/linear/CholeskySolverTest.java,areEqual(RealMatrix|RealMatrix|double),265,280
org/apache/commons/math/linear/CholeskySolverTest.java,main(String[]),286,291
org/apache/commons/math/util/BeanTransformerTest.java,testConstructor(),32,35
org/apache/commons/math/util/BeanTransformerTest.java,testConstructorString(),40,44
org/apache/commons/math/util/BeanTransformerTest.java,testSetPropertyName(),49,54
org/apache/commons/math/util/BeanTransformerTest.java,testTransformNoSuchMethod(),59,68
org/apache/commons/math/util/BeanTransformerTest.java,testTransform(),73,79
org/apache/commons/math/util/BeanTransformerTest.java,testTransformInvalidType(),83,92
org/apache/commons/math/util/BeanTransformer.java,BeanTransformer(),38,40
org/apache/commons/math/util/BeanTransformer.java,BeanTransformer(String),46,49
org/apache/commons/math/util/BeanTransformer.java,getPropertyName(),55,57
org/apache/commons/math/util/BeanTransformer.java,setPropertyName(String),63,66
org/apache/commons/math/util/BeanTransformer.java,transform(Object),72,91
org/apache/commons/math/stat/univariate/BeanListUnivariateImpl.java,BeanListUnivariateImpl(),50,52
org/apache/commons/math/stat/univariate/BeanListUnivariateImpl.java,BeanListUnivariateImpl(List),59,61
org/apache/commons/math/stat/univariate/BeanListUnivariateImpl.java,BeanListUnivariateImpl(List|String),69,72
org/apache/commons/math/stat/univariate/BeanListUnivariateImpl.java,getPropertyName(),77,79
org/apache/commons/math/stat/univariate/BeanListUnivariateImpl.java,transform(Object),91,114
org/apache/commons/math/stat/univariate/BeanListUnivariateImpl.java,setPropertyName(String),84,116
org/apache/commons/math/stat/univariate/BeanListUnivariateImpl.java,addValue(double),125,138
org/apache/commons/math/stat/univariate/BeanListUnivariateImpl.java,addObject(Object),145,147
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,BeanListUnivariateImplTest(String),54,56
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,setUp(),58,78
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,suite(),80,84
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,testStats(),87,97
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,testPropStats(),99,117
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,testSetPropertyName(),119,124
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,testAddValue(),126,137
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,testSerialization(),140,165
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,VitalStats(),172,173
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,VitalStats(Double|Double),175,178
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,getHeartRate(),180,182
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,setHeartRate(Double),184,186
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,getTemperature(),188,190
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,setTemperature(Double),192,194
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,Patient(),202,203
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,Patient(VitalStats|Integer),205,208
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,getVitalStats(),210,212
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,setVitalStats(VitalStats),214,216
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,getAge(),218,220
org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,setAge(Integer),222,224
org/apache/commons/math/analysis/UnivariateRealFunctionUtils.java,UnivariateRealFunctionUtils(),34,36
org/apache/commons/math/analysis/UnivariateRealFunctionUtils.java,backwardDifferenceDerivative(UnivariateRealFunction|double),38,40
org/apache/commons/math/analysis/UnivariateRealFunctionUtils.java,centerDifferenceDerivative(UnivariateRealFunction|double),42,44
org/apache/commons/math/analysis/UnivariateRealFunctionUtils.java,forwardDifferenceDerivative(UnivariateRealFunction|double),46,48
org/apache/commons/math/analysis/UnivariateRealFunctionUtilsTest.java,testLocalMaximumCentered(),31,35
org/apache/commons/math/analysis/UnivariateRealFunctionUtilsTest.java,testLocalMaximumForward(),40,44
org/apache/commons/math/analysis/UnivariateRealFunctionUtilsTest.java,testLocalMaximumBackward(),49,53
org/apache/commons/math/analysis/UnivariateRealFunctionUtilsTest.java,testLocalMaximum(UnivariateRealFunction),58,65
org/apache/commons/math/analysis/UnivariateRealFunctionProxy.java,UnivariateRealFunctionProxy(UnivariateRealFunction),33,36
org/apache/commons/math/analysis/UnivariateRealFunctionProxy.java,getFunction(),41,43
org/apache/commons/math/analysis/UnivariateRealFunctionProxy.java,setFunction(UnivariateRealFunction),48,50
org/apache/commons/math/analysis/DerivativeOperatorFactory.java,newInstance(),22,24
org/apache/commons/math/analysis/DerivativeOperatorFactory.java,getDefaultDerivativeOperator(),26,28
org/apache/commons/math/analysis/DerivativeOperatorFactory.java,getCenteredDifferenceDerivativeOperator(),30,32
org/apache/commons/math/analysis/derivative/CenterDifferenceDerivative.java,CenterDifferenceDerivative(UnivariateRealFunction|double),33,35
org/apache/commons/math/analysis/derivative/CenterDifferenceDerivative.java,value(double),40,45
org/apache/commons/math/analysis/derivative/CenterDifferenceDerivative.java,decorate(UnivariateRealFunction|double),50,52
org/apache/commons/math/analysis/derivative/BackwardDifferenceDerivative.java,BackwardDifferenceDerivative(UnivariateRealFunction|double),33,35
org/apache/commons/math/analysis/derivative/BackwardDifferenceDerivative.java,value(double),40,44
org/apache/commons/math/analysis/derivative/BackwardDifferenceDerivative.java,decorate(UnivariateRealFunction|double),49,51
org/apache/commons/math/analysis/derivative/ForwardDifferenceDerivative.java,ForwardDifferenceDerivative(UnivariateRealFunction|double),33,35
