File,Line,Rank,Suspiciousness
org.apache.commons.math.analysis.solvers.AllowedSolution,41,1,0.2500
org.apache.commons.math.analysis.solvers.BaseSecantSolver$Method,256,1,0.2500
org.apache.commons.math.util.FastMath,1743,2,0.2000
org.apache.commons.math.analysis.solvers.AllowedSolution,41,2,0.2000
org.apache.commons.math.util.FastMath,1874,2,0.2000
org.apache.commons.math.util.FastMath,1210,2,0.2000
org.apache.commons.math.util.FastMath,1155,2,0.2000
org.apache.commons.math.util.FastMath,1120,2,0.2000
org.apache.commons.math.util.FastMath,1095,2,0.2000
org.apache.commons.math.util.FastMath,1082,2,0.2000
org.apache.commons.math.util.FastMath,1062,2,0.2000
org.apache.commons.math.util.FastMath,1046,2,0.2000
org.apache.commons.math.util.FastMath,1012,2,0.2000
org.apache.commons.math.analysis.solvers.BaseSecantSolver$Method,256,2,0.2000
org.apache.commons.math.util.FastMath,1836,2,0.2000
org.apache.commons.math.util.FastMath,1793,2,0.2000
org.apache.commons.math.analysis.solvers.RegulaFalsiSolver,43,3,0.1250
org.apache.commons.math.analysis.solvers.BaseSecantSolver,124,4,0.0833
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,195,5,0.0476
org.apache.commons.math.analysis.solvers.BaseSecantSolver,68,6,0.0417
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,140,7,0.0370
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,134,7,0.0370
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,128,7,0.0370
org.apache.commons.math.util.FastMath,3410,7,0.0370
org.apache.commons.math.util.FastMath,3925,7,0.0370
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils,371,8,0.0323
org.apache.commons.math.analysis.solvers.BaseSecantSolver,116,8,0.0323
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils,336,8,0.0323
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils,305,8,0.0323
org.apache.commons.math.analysis.solvers.BaseSecantSolver,130,8,0.0323
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,282,8,0.0323
org.apache.commons.math.analysis.solvers.AbstractUnivariateRealSolver,37,9,0.0303
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,65,9,0.0303
org.apache.commons.math.util.Incrementor,93,10,0.0286
