File,Method,From,To
org/apache/commons/math3/fraction/ProperBigFractionFormat.java,ProperBigFractionFormat(),50,52
org/apache/commons/math3/fraction/ProperBigFractionFormat.java,ProperBigFractionFormat(NumberFormat),60,62
org/apache/commons/math3/fraction/ProperBigFractionFormat.java,ProperBigFractionFormat(NumberFormat|NumberFormat|NumberFormat),71,76
org/apache/commons/math3/fraction/ProperBigFractionFormat.java,format(BigFraction|StringBuffer|FieldPosition),88,112
org/apache/commons/math3/fraction/ProperBigFractionFormat.java,getWholeFormat(),118,120
org/apache/commons/math3/fraction/ProperBigFractionFormat.java,parse(String|ParsePosition),134,226
org/apache/commons/math3/fraction/ProperBigFractionFormat.java,setWholeFormat(NumberFormat),233,238
org/apache/commons/math3/fraction/BigFractionFormat.java,BigFractionFormat(),50,51
org/apache/commons/math3/fraction/BigFractionFormat.java,BigFractionFormat(NumberFormat),58,60
org/apache/commons/math3/fraction/BigFractionFormat.java,BigFractionFormat(NumberFormat|NumberFormat),68,71
org/apache/commons/math3/fraction/BigFractionFormat.java,getAvailableLocales(),78,80
org/apache/commons/math3/fraction/BigFractionFormat.java,formatBigFraction(BigFraction),89,91
org/apache/commons/math3/fraction/BigFractionFormat.java,getImproperInstance(),97,99
org/apache/commons/math3/fraction/BigFractionFormat.java,getImproperInstance(Locale),106,108
org/apache/commons/math3/fraction/BigFractionFormat.java,getProperInstance(),114,116
org/apache/commons/math3/fraction/BigFractionFormat.java,getProperInstance(Locale),123,125
org/apache/commons/math3/fraction/BigFractionFormat.java,format(BigFraction|StringBuffer|FieldPosition),137,148
org/apache/commons/math3/fraction/BigFractionFormat.java,format(Object|StringBuffer|FieldPosition),164,181
org/apache/commons/math3/fraction/BigFractionFormat.java,parse(String),190,198
org/apache/commons/math3/fraction/BigFractionFormat.java,parse(String|ParsePosition),207,258
org/apache/commons/math3/fraction/BigFractionFormat.java,parseNextBigInteger(String|ParsePosition),267,286
org/apache/commons/math3/fraction/FractionField.java,FractionField(),41,42
org/apache/commons/math3/fraction/FractionField.java,getInstance(),47,49
org/apache/commons/math3/fraction/FractionField.java,getOne(),52,54
org/apache/commons/math3/fraction/FractionField.java,getZero(),57,59
org/apache/commons/math3/fraction/FractionField.java,getRuntimeClass(),62,64
org/apache/commons/math3/fraction/FractionField.java,readResolve(),78,81
org/apache/commons/math3/fraction/FractionFormat.java,FractionFormat(),46,47
org/apache/commons/math3/fraction/FractionFormat.java,FractionFormat(NumberFormat),54,56
org/apache/commons/math3/fraction/FractionFormat.java,FractionFormat(NumberFormat|NumberFormat),64,67
org/apache/commons/math3/fraction/FractionFormat.java,getAvailableLocales(),74,76
org/apache/commons/math3/fraction/FractionFormat.java,formatFraction(Fraction),85,87
org/apache/commons/math3/fraction/FractionFormat.java,getImproperInstance(),93,95
org/apache/commons/math3/fraction/FractionFormat.java,getImproperInstance(Locale),102,104
org/apache/commons/math3/fraction/FractionFormat.java,getProperInstance(),110,112
org/apache/commons/math3/fraction/FractionFormat.java,getProperInstance(Locale),119,121
org/apache/commons/math3/fraction/FractionFormat.java,getDefaultNumberFormat(),129,131
org/apache/commons/math3/fraction/FractionFormat.java,format(Fraction|StringBuffer|FieldPosition),143,155
org/apache/commons/math3/fraction/FractionFormat.java,format(Object|StringBuffer|FieldPosition),171,186
org/apache/commons/math3/fraction/FractionFormat.java,parse(String),195,203
org/apache/commons/math3/fraction/FractionFormat.java,parse(String|ParsePosition),212,263
org/apache/commons/math3/fraction/ProperFractionFormat.java,ProperFractionFormat(),50,52
org/apache/commons/math3/fraction/ProperFractionFormat.java,ProperFractionFormat(NumberFormat),60,62
org/apache/commons/math3/fraction/ProperFractionFormat.java,ProperFractionFormat(NumberFormat|NumberFormat|NumberFormat),71,77
org/apache/commons/math3/fraction/ProperFractionFormat.java,format(Fraction|StringBuffer|FieldPosition),89,112
org/apache/commons/math3/fraction/ProperFractionFormat.java,getWholeFormat(),118,120
org/apache/commons/math3/fraction/ProperFractionFormat.java,parse(String|ParsePosition),134,219
org/apache/commons/math3/fraction/ProperFractionFormat.java,setWholeFormat(NumberFormat),226,231
org/apache/commons/math3/fraction/BigFraction.java,BigFraction(BigInteger),107,109
org/apache/commons/math3/fraction/BigFraction.java,BigFraction(BigInteger|BigInteger),120,149
org/apache/commons/math3/fraction/BigFraction.java,BigFraction(double),172,206
org/apache/commons/math3/fraction/BigFraction.java,BigFraction(double|double|int),229,233
org/apache/commons/math3/fraction/BigFraction.java,BigFraction(double|double|int|int),269,333
org/apache/commons/math3/fraction/BigFraction.java,BigFraction(double|int),352,355
org/apache/commons/math3/fraction/BigFraction.java,BigFraction(int),366,368
org/apache/commons/math3/fraction/BigFraction.java,BigFraction(int|int),381,383
org/apache/commons/math3/fraction/BigFraction.java,BigFraction(long),393,395
org/apache/commons/math3/fraction/BigFraction.java,BigFraction(long|long),408,410
org/apache/commons/math3/fraction/BigFraction.java,getReducedFraction(int|int),431,438
org/apache/commons/math3/fraction/BigFraction.java,abs(),447,449
org/apache/commons/math3/fraction/BigFraction.java,add(BigInteger),463,466
org/apache/commons/math3/fraction/BigFraction.java,add(int),478,480
org/apache/commons/math3/fraction/BigFraction.java,add(long),492,494
org/apache/commons/math3/fraction/BigFraction.java,add(BigFraction),507,527
org/apache/commons/math3/fraction/BigFraction.java,bigDecimalValue(),541,543
org/apache/commons/math3/fraction/BigFraction.java,bigDecimalValue(int),560,562
org/apache/commons/math3/fraction/BigFraction.java,bigDecimalValue(int|int),579,581
org/apache/commons/math3/fraction/BigFraction.java,compareTo(BigFraction),594,598
org/apache/commons/math3/fraction/BigFraction.java,divide(BigInteger),611,619
