File,Method,S-WordCount,S-LineCount,S-Density,S-ParaCount,S-FunCalls,S-VarCount,S-RepWords,S-ComPer,S-MaxDepth,S-BlockCount,S-CycCom
src/main/resources/Math/105/src/experimental/org/apache/commons/math/linear/CholeskySolver.java,setNumericalZero(double),3.0,1.0,3.0,1.0,0.0,0.0,2.0,0.7185185,1.0,1.0,0.0
src/main/resources/Math/105/src/experimental/org/apache/commons/math/linear/CholeskySolver.java,getNumericalZero(),2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0
src/main/resources/Math/105/src/experimental/org/apache/commons/math/linear/CholeskySolver.java,decompose(RealMatrix),125.0,27.0,4.6296296,1.0,4.0,9.0,17.0,0.30548927,3.0,4.0,18.0
src/main/resources/Math/105/src/experimental/org/apache/commons/math/linear/CholeskySolver.java,getDecomposition(),2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.8414634,1.0,1.0,0.0
src/main/resources/Math/105/src/experimental/org/apache/commons/math/linear/CholeskySolver.java,solve(double[]),105.0,22.0,4.7727275,1.0,2.0,7.0,18.0,0.5220838,2.0,4.0,20.0
src/main/resources/Math/105/src/experimental/org/apache/commons/math/linear/CholeskySolver.java,solve(RealMatrix|double[]),5.0,2.0,2.5,2.0,2.0,0.0,1.0,0.9262899,1.0,1.0,0.0
src/main/resources/Math/105/src/experimental/org/apache/commons/math/linear/CholeskySolver.java,getDeterminant(),37.0,12.0,3.0833333,0.0,1.0,3.0,6.0,0.5111732,2.0,3.0,5.0
src/main/resources/Math/105/src/experimental/org/apache/commons/math/linear/DecompositionFactory.java,newInstance(),2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
src/main/resources/Math/105/src/experimental/org/apache/commons/math/linear/CholeskySolverTest.java,setUp(),2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
src/main/resources/Math/105/src/experimental/org/apache/commons/math/linear/CholeskySolverTest.java,tearDown(),2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
src/main/resources/Math/105/src/experimental/org/apache/commons/math/linear/CholeskySolverTest.java,suite(),12.0,3.0,4.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
src/main/resources/Math/105/src/experimental/org/apache/commons/math/linear/CholeskySolverTest.java,testNumericalZero(),36.0,9.0,4.0,0.0,5.0,2.0,6.0,0.110410094,2.0,3.0,2.0
src/main/resources/Math/105/src/experimental/org/apache/commons/math/linear/CholeskySolverTest.java,testDecompose(),63.0,18.0,3.5,0.0,9.0,1.0,8.0,0.2393888,2.0,5.0,0.0
src/main/resources/Math/105/src/experimental/org/apache/commons/math/linear/CholeskySolverTest.java,testSolve(),110.0,25.0,4.4,0.0,11.0,2.0,10.0,0.22827497,2.0,7.0,0.0
src/main/resources/Math/105/src/experimental/org/apache/commons/math/linear/CholeskySolverTest.java,testGetDeterminant(),66.0,13.0,5.076923,0.0,7.0,1.0,7.0,0.17259787,2.0,3.0,0.0
