File,Line,Rank,Suspiciousness
org.apache.commons.math.linear.RealMatrixImpl,774,1,0.3333
org.apache.commons.math.linear.BigMatrixImpl,986,1,0.3333
org.apache.commons.math.linear.BigMatrixImpl,138,2,0.0476
org.apache.commons.math.linear.BigMatrixImpl,947,3,0.0323
org.apache.commons.math.linear.BigMatrixImpl,956,3,0.0323
org.apache.commons.math.linear.RealMatrixImpl,130,4,0.0185
org.apache.commons.math.linear.RealMatrixImpl,750,5,0.0130
org.apache.commons.math.linear.RealMatrixImpl,743,6,0.0128
org.apache.commons.math.linear.RealMatrixImpl,77,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,724,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,706,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,661,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,611,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,582,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,556,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,546,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,527,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,518,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,508,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,489,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,477,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,466,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,437,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,405,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,383,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,364,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,340,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,313,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,537,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,746,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,789,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,287,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,1420,7,0.0000
org.apache.commons.math.linear.BigMatrixImpl,1411,7,0.0000
